Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2017-07-14,Bird causes power outage to Valemount,Bird,Valemount,BC,Canada,http://www.therockymountaingoat.com/2017/07/bird-causes-power-outage-to-valemount/?utm_content=bufferf818a&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Y,900,-,,,,,
2017-07-13,UPDATE: Power restored after bird flies into transformer in downtown Kamloops,Bird,Kamloops,BC,Canada,http://infotel.ca/newsitem/bird-knocks-out-power-in-downtown-kamloops/it44287,Y,-,-,,,,,
2017-07-13,"there was a bird strike on our Ballyboden substation which cause the outages, repairs done now. Again apologies",Bird,Rathfarnham,,Ireland,https://twitter.com/ESBNetworks/status/885445476102934528,Y,-,-,,,,,
2017-07-13,Power outage Thursday caused by squirrel,Squirrel,Rome,GA,United States,http://www.wrganews.com/common/page.php?id=106561&is_corp=1,B,2000,45,,,,,http://johndruckenmiller.com/blog/2017/07/13/wrga-thursday-morning-power-outage-caused-by-squirrel-power-now-restored-local-radio-stations-working-to-get-back-on-air/
2017-07-12,Check Out Crazy Photos of Bobcat Hanging From Power Line,Bobcat,Laklin,KS,United States,https://www.realtree.com/the-realblog-with-stephanie-mallory/check-out-crazy-photos-of-bobcat-hanging-from-power-line,Y,,,,,,,https://www.kwch.com/content/news/Bobcat--433901693.html
2017-07-11,Ravenna loses power Tuesday afternoon,Bird,Ravenna,NE,United States,http://www.theindependent.com/news/local/ravenna-loses-power-tuesday-afternoon/article_0070b10e-6680-11e7-bf56-3bbdd21c63de.html,B,-,-,,,,,http://www.kearneyhub.com/news/local/bird-cause-for-power-outage-in-ravenna/article_49fdcc74-d947-5300-82e2-d61bcd6ceb98.html
2017-07-11,Bobcat causes rural power outage near Lakin,Bobcat,Lakin,KS,United States,http://www.gctelegram.com/news/20170711/bobcat-causes-rural-power-outage-near-lakin,Y,-,-,,,,,
2017-07-11,Lights out in Minot on Monday afternoon,unknown,Minot,ND,United States,http://www.minotdailynews.com/news/local-news/2017/07/lights-out-in-minot-on-monday-afternoon/,Y,5210,40,,,,,
2017-07-11,rat triggers short circuit,Rat,Esslingen,,Germany,http://www.stuttgarter-nachrichten.de/inhalt.stromausfall-in-esslingen-ratte-loest-kurzschluss-aus.829c7602-dd33-46b1-b982-c818e5f4e54e.html,Y,2200,86,,,,,
2017-07-11,The squirrel took an economy electricity to about 700 in Turku,Squirrel,Turku,,Finland,http://www.ts.fi/uutiset/paikalliset/3579436/Orava+vei+sahkot+noin+700+taloudelta+Turussa,Y,700,-,,,,,
2017-07-10,Electricity line kills great Indian bustard,Bird,Ahmedabad,,India,http://timesofindia.indiatimes.com/city/ahmedabad/electricity-line-kills-great-indian-bustard/articleshow/59534924.cms?from=mdr,Y,-,-,,,,Great Indian Bustard,
2017-07-10,Power outage at 7:15 AM affected ~700 customers west of Concordia. Power restored at 7:41 AM. Caused by interference of a squirrel.,Squirrel,Moorehead,MN,United States,https://twitter.com/mpsutility/status/884418647502053376,Y,700,-,,,,,
2017-07-09,Power outage planned to protect osprey nest and transmission line,Bird,Lunenburg,NS,Canada,http://www.cbc.ca/news/canada/nova-scotia/ospray-nest-transmission-lunenburg-mahone-bay-riverport-1.4192219,Y,5600,-,,,,Osprey Nest,
2017-07-09,"More than 2,300 without power briefly",Raccoon,Ft. Wayne,IN,United States,http://www.journalgazette.net/article/20170707/WEB/170709937,Y,2300,-,,,,,
2017-07-08,UPDATE: Ameren restores power near Northwoods Mall,Bird,Peoria,IL,United States,http://www.centralillinoisproud.com/news/local-news/update-ameren-restores-power-near-northwoods-mall/761048077,Y,-,-,,,,,
2017-07-08,"Dead bird at center of major power outage reported in Los Banos, Gustine, Santa Nella",Bird,Los Banos,CA,United States,http://www.losbanosenterprise.com/news/local/article160315369.html,Y,12000,38,,,,,
